XECUSDT;9.135602737967359;11;0
ALPHAUSDT;14.558558292962253;10;0
SKLUSDT;15.132942155197494;10;0
RAYUSDT;7.214242091217924;10;0
GRTUSDT;10.443296532820467;10;0
IOSTUSDT;13.439587871664095;10;0
SANDUSDT;9.358437931184923;10;0
BNBUSDT;7.535918753732714;10;0
TRBUSDT;4.482332883207342;10;0
BANDUSDT;7.732814093401193;10;2
ARUSDT;3.9159903174068047;7;3
XLMUSDT;5.317082890034246;7;3
EOSUSDT;7.941334731433025;9;1
ETHUSDT;5.655145439511175;10;0
FLMUSDT;0.888650763743751;7;3
XECUSDT;5.04708807195173;8;2
CELRUSDT;17.6706358431008;9;0
FLOWUSDT;6.938320963304154;8;2
BTSUSDT;4.593519948864213;9;1
ATOMUSDT;5.707767628288708;9;1
ICPUSDT;5.645889307760271;8;2
ALICEUSDT;9.267837508878994;8;2
PEOPLEUSDT;5.584822682559238;8;2
THETAUSDT;11.215058394490198;10;1
IOSTUSDT;9.632110453342047;9;1
KSMUSDT;4.8508421891012565;9;2
TOMOUSDT;12.618686763203955;10;0
SOLBUSD;7.455372288905653;9;1
CTSIUSDT;13.351335714745861;10;0
KLAYUSDT;4.9613664973341765;10;1
REEFUSDT;12.576340897913528;10;0
SKLUSDT;6.7661011461502065;9;1
LINKUSDT;5.133928512457275;8;2
ANTUSDT;7.778317660631764;8;2
ANCUSDT;16.097237449605856;9;1
BATUSDT;6.925874841066937;8;2
MKRUSDT;7.366227825858419;8;3
LINAUSDT;21.803243666450257;10;0
YFIUSDT;5.396686298655553;9;1
CRVUSDT;13.892812054398549;9;1
QTUMUSDT;6.847608857771715;9;1
DENTUSDT;3.5732395479491403;9;2
DASHUSDT;11.79584879467852;10;0
XRPUSDT;6.149858279433412;11;0
1INCHUSDT;8.787772041626772;10;0
ADAUSDT;5.789157087641579;9;1
GMTUSDT;3.775719581362925;6;4
SUSHIUSDT;9.747784095383397;11;0
EGLDUSDT;4.063828281397935;8;2
ONEUSDT;8.790606555523595;8;2
ONTUSDT;3.9374881944843945;8;2
AXSUSDT;4.9899786015186605;10;1
COTIUSDT;3.535681624810404;8;2
XEMUSDT;4.548832134859438;8;2
DYDXUSDT;18.9063459152728;10;1
NEOUSDT;6.501873098890409;8;2
ETCUSDT;8.039869194543328;9;1
COMPUSDT;11.66027468799269;11;1
SNXUSDT;15.118685440602482;6;4
UNFIUSDT;9.334386009450347;10;0
LPTUSDT;14.069970309867484;11;1
FTTBUSD;7.18604642565987;10;0
MATICUSDT;9.123868918371603;9;1
AUDIOUSDT;23.18811408379448;9;1
BELUSDT;12.045608178687798;11;1
SCUSDT;0.37695337936939133;8;3
ICXUSDT;8.856917225989886;9;1
FILUSDT;9.98376747673194;9;1
STORJUSDT;1.339748060844653;9;2
XRPBUSD;6.287707885769053;11;0
OMGUSDT;13.337069265021283;11;0
TLMUSDT;5.269328341960234;8;2
BAKEUSDT;14.116138790066655;10;1
ROSEUSDT;14.98661433983014;10;0
ARPAUSDT;11.104305584782589;10;0
HNTUSDT;14.232367348416155;9;1
ALGOUSDT;7.545407100918871;11;0
DGBUSDT;7.838429088820431;9;1
BTCUSDT;5.324578941508573;10;0
CHRUSDT;11.936840735288182;10;0
GTCUSDT;6.679309484464006;9;1
GRTUSDT;5.510073088295153;8;3
HBARUSDT;6.220863394207909;10;0
TRXUSDT;7.0177508481729465;8;2
SRMUSDT;6.73458549269535;10;0
AKROUSDT;7.509179943320984;10;0
MANAUSDT;9.072898463596395;10;1
RAYUSDT;6.981397094228284;9;1
BNBBUSD;6.447754178433747;11;0
NKNUSDT;6.784223813495229;10;0
LITUSDT;13.015953726657;10;0
BCHUSDT;6.699912111246713;8;2
SANDUSDT;5.613320894556045;10;0
ATAUSDT;7.18130550014741;9;1
SFPUSDT;5.452191347052321;9;1
NEARUSDT;12.928723502124816;10;0
UNIUSDT;8.63887885588;11;0
BLZUSDT;7.664353150498594;9;1
APEUSDT;21.052528959231175;10;0
IMXUSDT;11.247416824501517;7;3
IOTAUSDT;4.732607647033729;8;2
MASKUSDT;13.460254682048456;10;1
VETUSDT;10.78552829655972;9;1
WAVESUSDT;19.625385499923436;9;1
GALAUSDT;6.773505477775751;9;1
IOTXUSDT;6.9894224940531515;8;2
ZRXUSDT;2.636523007181554;8;3
CELOUSDT;5.733609996179917;8;2
RVNUSDT;8.312637311337543;9;1
CVCUSDT;10.86117218968739;10;0
KAVAUSDT;8.640736438449167;7;1
RSRUSDT;9.630681053157371;8;2
BALUSDT;5.37438557551055;9;1
